disease,gap,n,n_pos,auc_baseline,ll_baseline,auc_plus_cs,ll_plus_cs,delta_auc,auc_cs_alone,ll_cs_alone,auc_cs_top_alone,status
appendicitis,commission,71,32,0.9238782051282052,-0.6325116643951466,0.8766025641025641,-0.8841747809864017,-0.04727564102564108,0.7475961538461539,-0.6395908891505037,0.7291666666666667,
appendicitis,omission,71,22,0.8385899814471245,-0.6608243248301362,0.8441558441558442,-0.6632451014972353,0.0055658627087197265,0.47588126159554733,-0.6684921724710228,0.47866419294990725,
appendicitis,order_swap,71,5,,,,,,,,,
cholecystitis,commission,93,62,0.5819458896982309,-2.0194251110334607,0.6217481789802289,-0.7006652338724315,0.03980228928199803,0.6644120707596254,-0.6148406510913849,0.5546305931321539,
cholecystitis,omission,93,29,0.7343750000000001,-0.5652116182635313,0.7710129310344828,-0.5446659014215413,0.03663793103448265,0.5010775862068966,-0.6705458234399632,0.509698275862069,
cholecystitis,order_swap,93,1,,,,,,,,,degenerate
diverticulitis,commission,35,19,0.37500000000000006,-2.348299643781331,0.4342105263157895,-2.0696673504721463,0.059210526315789436,0.5296052631578947,-0.7025869146492992,0.569078947368421,
diverticulitis,omission,35,0,,,,,,,,,degenerate
diverticulitis,order_swap,35,0,,,,,,,,,degenerate
pancreatitis,commission,101,69,0.765625,-1.1547191048225127,0.7830615942028986,-0.5547830956283325,0.01743659420289856,0.7305253623188406,-0.579214778184451,0.7296195652173914,
pancreatitis,omission,101,37,0.6161317567567567,-0.7232730304336478,0.6152871621621623,-0.7316009853543841,-0.0008445945945944056,0.7103040540540541,-0.6005037484578175,0.7094594594594594,
pancreatitis,order_swap,101,3,,,,,,,,,
