feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
WBC_gt_18k,0.6666666666666666,0.05102040816326531,7,37.2,3.3440389678222067,0.012055205520552054,0.446042604260426
bowel_habit_change,1.0,0.41836734693877553,44,inf,2.2720016696219654,0.07947194719471946,0.7340054005400539
BUN_gt_25,0.6666666666666666,0.16326530612244897,18,10.25,2.120263536200091,0.08109810981098109,0.7340054005400539
left_shift,0.3333333333333333,0.02040816326530612,3,24.0,3.1424266527047946,0.08733273327332734,0.7340054005400539
alcohol_history,0.6666666666666666,0.1836734693877551,20,8.88888888888889,1.9813120761062293,0.09918991899189918,0.7340054005400539
anorexia,0.3333333333333333,0.061224489795918366,7,7.666666666666667,2.144580843850797,0.1956555655565556,1.0
SIRS_criteria_ge_2,0.3333333333333333,0.07142857142857142,8,6.5,1.9906103279732201,0.22132613261326126,1.0
WBC_gt_10k,1.0,0.4897959183673469,51,inf,1.9863196873931899,0.2425742574257425,1.0
age_gt_60,0.3333333333333333,0.15306122448979592,16,2.7666666666666666,1.1731809841656182,0.4073207320732073,1.0
epigastric_radiating_to_back,0.3333333333333333,0.16326530612244897,17,2.5625,1.0986122886681098,0.4282388238823882,1.0
gallstone_history,0.3333333333333333,0.1836734693877551,19,2.2222222222222223,0.9596608285742478,0.4685868586858686,1.0
bilirubin_elevated,0.6666666666666666,0.3673469387755102,38,3.4444444444444446,1.0486799199199006,0.5546714671467147,1.0
LFTs_elevated,1.0,0.7244897959183674,74,inf,0.990398704027877,0.5623942394239424,1.0
pain_location_RUQ,0.6666666666666666,0.3979591836734694,41,3.0256410256410255,0.9205012644104986,0.5645364536453645,1.0
CRP_elevated,0.0,0.02040816326530612,2,0.0,1.7073421274154719,1.0,1.0
pain_location_Epigastric,0.3333333333333333,0.35714285714285715,36,0.9,0.07068158565128507,1.0,1.0
lipase_ge_3xULN,1.0,0.7755102040816326,79,inf,0.7221347174331975,1.0,1.0
creatinine_elevated,0.0,0.21428571428571427,21,0.0,-0.6636851478296291,1.0,1.0
is_female_reproductive_age,0.0,0.20408163265306123,20,0.0,-0.6032364104113132,1.0,1.0
CRP_gt_200,0.0,0.01020408163265306,1,0.0,2.228477120840324,1.0,1.0
impaired_mental_status,0.0,0.061224489795918366,6,0.0,0.7094963185614748,1.0,1.0
rebound_tenderness,0.0,0.01020408163265306,1,0.0,2.228477120840324,1.0,1.0
fever_temp_ge_37_3,0.0,0.030612244897959183,3,0.0,1.3604531299360032,1.0,1.0
has_organ_dysfunction,0.3333333333333333,0.336734693877551,34,0.9848484848484849,0.15967908004419482,1.0,1.0
RLQ_tenderness,0.0,0.02040816326530612,2,0.0,1.7073421274154719,1.0,1.0
murphys_sign,0.0,0.01020408163265306,1,0.0,2.228477120840324,1.0,1.0
prior_diverticular_disease,0.0,0.061224489795918366,6,0.0,0.7094963185614748,1.0,1.0
nausea_vomiting,1.0,0.7653061224489796,78,inf,0.7787779139504475,1.0,1.0
symptom_duration_over_72h,0.3333333333333333,0.47959183673469385,48,0.5425531914893617,-0.4299735271368957,1.0,1.0
pain_location_RLQ,0.0,0.01020408163265306,1,0.0,2.228477120840324,1.0,1.0
pain_location_Periumbilical,0.0,0.01020408163265306,1,0.0,2.228477120840324,1.0,1.0
pain_location_Pelvic,0.0,0.02040816326530612,2,0.0,1.7073421274154719,1.0,1.0
pain_location_Other,0.0,0.12244897959183673,12,0.0,-0.011494379425735134,1.0,1.0
pain_location_LUQ,0.0,0.05102040816326531,5,0.0,0.8873031950009027,1.0,1.0
pain_location_General_Abdomen,0.0,0.030612244897959183,3,0.0,1.3604531299360032,1.0,1.0
peritoneal_signs,0.0,0.04081632653061224,4,0.0,1.0986122886681098,1.0,1.0
RUQ_tenderness,0.0,0.19387755102040816,19,0.0,-0.5405675929647281,1.0,1.0
